compliance_id,client_id,kyc_status,kyc_date,aml_status,aml_date,suitability_status,suitability_date,next_review_date
COMP00010,CL00004,Compliant,2024-08-03,Compliant,2024-05-01,Compliant,2025-08-17,2026-12-15
COMP00025,CL00008,Compliant,2025-07-01,Compliant,2025-08-12,Compliant,2023-12-25,2026-12-15
COMP00034,CL00036,Compliant,2024-12-29,Compliant,2025-09-15,Compliant,2024-06-13,2026-12-15
COMP00021,CL00007,Compliant,2024-03-03,Compliant,2024-12-04,Compliant,2024-03-26,2026-12-15
COMP00032,CL00026,Compliant,2025-07-07,Compliant,2025-09-08,Compliant,2025-06-25,2026-12-15
COMP00019,CL00001,Compliant,2025-11-19,Compliant,2024-04-17,Compliant,2025-02-25,2026-12-15
COMP00008,CL00015,Compliant,2025-03-16,Compliant,2025-07-15,Compliant,2024-03-01,2026-12-15
COMP00031,CL00005,Compliant,2024-04-30,Compliant,2024-03-02,Compliant,2023-12-20,2026-12-15
COMP00020,CL00034,Compliant,2023-12-23,Compliant,2024-01-18,Compliant,2024-04-07,2026-12-15
COMP00009,CL00019,Compliant,2024-11-27,Compliant,2024-03-27,Compliant,2024-03-04,2026-12-15
COMP00018,CL00021,Compliant,2025-06-27,Compliant,2025-11-16,Compliant,2025-05-22,2026-12-15
COMP00016,CL00017,Compliant,2025-01-17,Compliant,2024-05-24,Compliant,2025-01-27,2026-12-15
COMP00027,CL00013,Compliant,2025-07-25,Compliant,2025-01-08,Compliant,2025-09-22,2026-12-15
COMP00007,CL00028,Compliant,2023-12-22,Compliant,2024-12-15,Compliant,2025-06-19,2026-12-15
COMP00012,CL00016,Compliant,2024-09-04,Compliant,2024-08-03,Compliant,2025-10-22,2026-12-15
COMP00015,CL00032,Compliant,2024-08-24,Compliant,2025-04-10,Compliant,2025-03-22,2026-12-15
COMP00022,CL00031,Compliant,2024-05-04,Compliant,2025-06-09,Compliant,2025-04-28,2026-12-15
COMP00028,CL00010,Compliant,2025-08-10,Compliant,2025-03-29,Compliant,2025-07-31,2026-12-15
COMP00023,CL00025,Compliant,2025-08-21,Compliant,2025-05-03,Compliant,2025-08-06,2026-12-15
COMP00004,CL00033,Compliant,2025-10-27,Compliant,2024-04-02,Compliant,2025-02-18,2026-12-15
COMP00035,CL00023,Compliant,2025-08-04,Compliant,2025-11-19,Compliant,2025-01-02,2026-12-15
COMP00036,CL00009,Compliant,2024-07-06,Compliant,2025-04-15,Compliant,2025-04-29,2026-12-15
COMP00026,CL00012,Compliant,2024-11-15,Compliant,2025-05-02,Compliant,2025-07-10,2026-12-15
COMP00014,CL00018,Compliant,2023-12-26,Compliant,2024-01-15,Compliant,2024-02-01,2026-12-15
COMP00002,CL00035,Compliant,2024-12-22,Compliant,2024-07-29,Compliant,2024-04-22,2026-12-15
COMP00017,CL00014,Compliant,2024-02-22,Compliant,2024-06-02,Compliant,2024-04-14,2026-12-15
COMP00024,CL00022,Compliant,2024-08-02,Compliant,2024-11-11,Compliant,2025-04-02,2026-12-15
COMP00005,CL00002,Compliant,2024-03-18,Compliant,2025-04-24,Compliant,2025-06-21,2026-12-15
COMP00029,CL00029,Compliant,2025-09-07,Compliant,2025-05-28,Compliant,2025-10-22,2026-12-15
COMP00003,CL00024,Compliant,2025-02-13,Compliant,2024-10-16,Compliant,2025-05-28,2026-12-15
COMP00001,CL00003,Compliant,2024-11-16,Compliant,2025-06-02,Compliant,2024-11-06,2026-12-15
COMP00011,CL00027,Compliant,2024-02-04,Compliant,2024-10-24,Compliant,2024-09-21,2026-12-15
COMP00033,CL00006,Compliant,2025-08-24,Compliant,2025-05-17,Compliant,2024-06-09,2026-12-15
COMP00013,CL00030,Compliant,2024-03-10,Compliant,2024-11-12,Compliant,2025-08-11,2026-12-15
COMP00030,CL00020,Compliant,2025-03-06,Compliant,2025-01-31,Compliant,2025-07-24,2026-12-15
COMP00006,CL00011,Compliant,2025-12-05,Compliant,2025-08-07,Compliant,2025-08-26,2026-12-15
